CountryNameAr,CountryNameEn,CityNameAr,CityNameEn,Population
"أفغانستان","Afghanistan","كابل","Kabul",4273156
"أفغانستان","Afghanistan","ولاية قندهار","Kandahar",614254
"أفغانستان","Afghanistan","ولاية هرات","Herat",556205
"أفغانستان","Afghanistan","فرح","Farah",500000
"أفغانستان","Afghanistan","مزار شريف","Mazar-e Sharif",469247
"أفغانستان","Afghanistan","لشكر غاه","Lashkar Gah",276831
"أفغانستان","Afghanistan","ولاية قندوز","Kunduz",268893
"أفغانستان","Afghanistan","جلال آباد","Jalalabad",263312
"أفغانستان","Afghanistan","تالقان","Taluqan",258758
"أفغانستان","Afghanistan","شبرغان","Shibirghan",175599
"أفغانستان","Afghanistan","زرنج","Zaranj",160902
"أفغانستان","Afghanistan","ولاية خوست","Khost",160214
"أفغانستان","Afghanistan","مهترلام","Mehtar Lam",144162
"أفغانستان","Afghanistan","ولاية غزني","Ghazni",143379
"أفغانستان","Afghanistan","بغمان","Paghman",143000
"أفغانستان","Afghanistan","بل خمري","Pul-e Khumri",113500
"أفغانستان","Afghanistan","ولاية باميان","Bamyan",100000
"أفغانستان","Afghanistan","شاريكار","Charikar",96093
"أفغانستان","Afghanistan","ولاية بغلان","Baghlan",83490
"أفغانستان","Afghanistan","ولاية بلخ","Balkh",77000
"أفغانستان","Afghanistan","ترين كوت","Tarin Kot",71604
"أفغانستان","Afghanistan","غرديز","Gardez",70641
"أفغانستان","Afghanistan","فيض آباد","Faizabad",64704
"أفغانستان","Afghanistan","منطقة سربل","Sar-e Pul",51075
"أفغانستان","Afghanistan","مقاطعة محمود راقي","Mahmud-e Raqi",50490
"أفغانستان","Afghanistan","قلات","Qalat",49158
"أفغانستان","Afghanistan","أندخوي","Andkhoy",39730
"أفغانستان","Afghanistan","سمنكان","Aibak",35560
"أفغانستان","Afghanistan","ميدان شهر","Maidan Shahr",35008
"أفغانستان","Afghanistan","منطقة بكرامي","Bagrami",31680
"أفغانستان","Afghanistan","بازارك","Bazarak",24723
"أفغانستان","Afghanistan","مقاطعة بول علم","Pul-e `Alam",22914
"أفغانستان","Afghanistan","مقاطعة براكي باراك","Baraki Barak",22622
"أفغانستان","Afghanistan","كرخ","Karukh",17484
"أفغانستان","Afghanistan","كوشك","Kushk",17479
"أفغانستان","Afghanistan","أسد أباد","Asadabad",16700
"أفغانستان","Afghanistan","شرنه","Zarah Sharan",15651
"أفغانستان","Afghanistan","فيروزكوه","Fayroz Koh",15000
"أفغانستان","Afghanistan","أرمري","Baraki",15000
"أفغانستان","Afghanistan","إشكاشم","Ishkashim",12120
"أفغانستان","Afghanistan","البنجاب","Panjab",9900
"أفغانستان","Afghanistan","بارون","Parun",1647
"ألبانيا","Albania","تيرانا","Tirana",418495
"ألبانيا","Albania","دراس","Durres",153614
"ألبانيا","Albania","فلوره","Vlore",130827
"ألبانيا","Albania","كامزا","Kamez",126777
"ألبانيا","Albania","إيلبصان","Elbasan",78703
"ألبانيا","Albania","إشقودرة","Shkoder",76000
"ألبانيا","Albania","فيير","Fier",55845
"ألبانيا","Albania","كورتشي","Korce",51152
"ألبانيا","Albania","سارنده","Sarande",41000
"ألبانيا","Albania","لوشنيه","Lushnje",27000
"ألبانيا","Albania","بوغراديك","Pogradec",20848
"ألبانيا","Albania","قواية","Kavaje",20192
"ألبانيا","Albania","جيروكاستر","Gjirokaster",19836
"ألبانيا","Albania","العظاءة","Lac",17086
"ألبانيا","Albania","مقاطعة لجه","Lezhe",15510
"ألبانيا","Albania","باتوس","Patos",15397
"ألبانيا","Albania","بيشكوبي","Peshkopi",13251
"ألبانيا","Albania","كرويه","Kruje",11721
"ألبانيا","Albania","بوريل","Burrel",10862
"ألبانيا","Albania","ليبراجد","Librazhd",6937
"ألبانيا","Albania","برمت","Permet",5945
"ألبانيا","Albania","باجرام كوري","Bajram Curri",5340
"ألبانيا","Albania","تيبلين","Tepelene",4342
"ألبانيا","Albania","إيرسيكي","Erseke",3746
"ألبانيا","Albania","تل","Puke",3607
"الجزائر","Algeria","الجزائر العاصمة","Algiers",2364230
"الجزائر","Algeria","وهران","Oran",803329
"الجزائر","Algeria","قسطنطين","Constantine",448374
"الجزائر","Algeria","باتنة","Batna",290645
"الجزائر","Algeria","سطيف","Setif",288461
"الجزائر","Algeria","عنابة","Annaba",257359
"الجزائر","Algeria","سيدي عيسى","Sidi Aissa",215000
"الجزائر","Algeria","ولاية سيدي بلعباس","Sidi Bel Abbes",212935
"الجزائر","Algeria","ولاية بسكرة","Biskra",204661
"الجزائر","Algeria","ولاية تبسة","Tebessa",194461
"الجزائر","Algeria","ولاية ورقلة","Ouargla",191136
"الجزائر","Algeria","الخروب","El Khroub",179033
"الجزائر","Algeria","ولاية تيارت","Tiaret",178915
"الجزائر","Algeria","بجاية","Bejaia",176139
"الجزائر","Algeria","بئر الجير","Bir el Djir",171883
"الجزائر","Algeria","برج بوعريريج","Bordj Bou Arreridj",168346
"الجزائر","Algeria","ولاية بشار","Bechar",165627
"الجزائر","Algeria","ولاية سكيكدة","Skikda",163318
"الجزائر","Algeria","ولاية الجلفة","Djelfa",158679
"الجزائر","Algeria","سوق أهراس","Souk Ahras",155259
"الجزائر","Algeria","ولاية الشلف","Chlef",155134
"الجزائر","Algeria","العلمة","El Eulma",155038
"الجزائر","Algeria","برج الكيفان","Bordj el Kiffan",151950
"الجزائر","Algeria","مستغانم","Mostaganem",145696
"الجزائر","Algeria","تقرت","Touggourt",143270
"الجزائر","Algeria","ميدي","Medea",138355
"الجزائر","Algeria","تيزي وزو","Tizi Ouzou",135088
"الجزائر","Algeria","ولاية الوادي","El Oued",134699
"الجزائر","Algeria","ولاية الأغواط","Laghouat",134372
"الجزائر","Algeria","ولاية المسيلة","M'Sila",132975
"الجزائر","Algeria","ولاية جيجل","Jijel",131513
"الجزائر","Algeria","ولاية غليزان","Relizane",130094
"الجزائر","Algeria","سعيدة","Saida",128413
"الجزائر","Algeria","أرمري","Baraki",123101
"الجزائر","Algeria","قالمة","Guelma",120004
"الجزائر","Algeria","ولاية غرداية","Ghardaia",120000
"الجزائر","Algeria","البرواقية","Berrouaghia",118678
"الجزائر","Algeria","عين البيضاء","Ain Beida",116064
"الجزائر","Algeria","مغنية","Maghnia",114634
"الجزائر","Algeria","بوسعادة","Bou Saada",111787
"الجزائر","Algeria","ولاية خنشلة","Khenchela",108580
"الجزائر","Algeria","بريكة","Barika",104388
"الجزائر","Algeria","مسعد","Messaad",102453
"الجزائر","Algeria","أفلو","Aflou",102025
"الجزائر","Algeria","عين وسارة","Ain Oussera",101239
"الجزائر","Algeria","السانية","Es Senia",96928
"الجزائر","Algeria","باب الزوار","Bab Ezzouar",96597
"الجزائر","Algeria","ولاية تمنراست","Tamanrasset",92635
"الجزائر","Algeria","أرزيو","Arzew",91400
"الجزائر","Algeria","عين مليلة","Ain M'Lila",88441
"الجزائر","Algeria","حاسي بحبح","Hassi Bahbah",86421
"الجزائر","Algeria","ولاية البيض","El Bayadh",85577
"الجزائر","Algeria","المحمدية","Mohammadia",84700
"الجزائر","Algeria","خميس مليانة","Khemis Miliana",84574
"الجزائر","Algeria","الميلية","El Milia",83931
"الجزائر","Algeria","حامة بوزيان","Hamma Bouziane",83603
"الجزائر","Algeria","شلغوم العيد","Chelghoum el Aid",82560
"الجزائر","Algeria","الدار البيضاء","Dar el Beida",81509
"الجزائر","Algeria","ولاية أم البواقي","Oum el Bouaghi",80359
"الجزائر","Algeria","السوقر","Sougueur",78956
"الجزائر","Algeria","طاهر","Taher",78500
"الجزائر","Algeria","بئر خادم","Birkhadem",77749
"الجزائر","Algeria","بئر العاتر","Bir el Ater",77727
"الجزائر","Algeria","خميس الخشنة","Khemis el Khechna",76474
"الجزائر","Algeria","مروانة","Merouana",76000
"الجزائر","Algeria","ولاية عين تموشنت","Ain Temouchent",75558
"الجزائر","Algeria","الشريعة","Cheria",75344
"الجزائر","Algeria","ولاية تيسمسيلت","Tissemsilt",75197
"الجزائر","Algeria","عين ولمان","Ain Oulmene",73831
"الجزائر","Algeria","تلمسان","Tlemcen",72200
"الجزائر","Algeria","جماعة دفاع عن المصالح","Sig",70499
"الجزائر","Algeria","ميلا","Mila",69052
"الجزائر","Algeria","ولاية البويرة","Bouira",68545
"الجزائر","Algeria","ولاية أدرار","Adrar",68276
"الجزائر","Algeria","دائرة قصر البخاري","Ksar el Boukhari",67813
"الجزائر","Algeria","بلدية الرغاية","Reghaia",66215
"الجزائر","Algeria","ولاية عين الدفلى","Ain Defla",65453
"الجزائر","Algeria","حجوط","Hadjout",65300
"الجزائر","Algeria","المشرية","Mecheria",65043
"الجزائر","Algeria","برج منايل","Bordj Menaiel",64820
"الجزائر","Algeria","وادي ارهيو","Oued Rhiou",64685
"الجزائر","Algeria","أولاد جلال","Ouled Djellal",63237
"الجزائر","Algeria","دائرة تغنيف","Tighenif",62210
"الجزائر","Algeria","الرويبة","Rouiba",61984
"الجزائر","Algeria","بلدية بابا حسن","Baba Hassen",60000
"الجزائر","Algeria","مسكيانة","Meskiana",60000
"الجزائر","Algeria","عين التوتة","Ain Touta",59904
"الجزائر","Algeria","الأخضرية","Lakhdaria",59746
"الجزائر","Algeria","سيدي الشحمي","Sidi ech Chahmi",58857
"الجزائر","Algeria","الرويسات","Rouissat",58112
"الجزائر","Algeria","العطاف","El Attaf",57737
"الجزائر","Algeria","بوفاريك","Boufarik",57162
"الجزائر","Algeria","عزابة","Azzaba",56922
"الجزائر","Algeria","الشقفة","Chekfa",56447
